site,site_id,param_index_subset,param_name,param_label_short,obs_index,obs_block_name,obs_family,obs_label_short,obs_label_full,y_obs,y_prior,y_opt,obs_sigma,obs_variance,gain_value,abs_gain_value,rank_within_param_by_abs_gain
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,30,resp_14C,resp_delta14C,resp[31],resp_14C[31],69.05946350097656,196.36236572265625,64.53846740722656,15.0,225.0,1.2997617466139623e-05,1.2997617466139623e-05,47
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,31,resp_14C,resp_delta14C,resp[32],resp_14C[32],49.174835205078125,194.8347930908203,63.55397415161133,15.0,225.0,-2.3671735627901636e-05,2.3671735627901636e-05,44
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,32,resp_14C,resp_delta14C,resp[33],resp_14C[33],70.2677993774414,197.75401306152344,62.33152389526367,15.0,225.0,-6.794502474146338e-05,6.794502474146338e-05,40
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,33,resp_14C,resp_delta14C,resp[34],resp_14C[34],69.19176483154297,184.539794921875,59.58330535888672,15.0,225.0,-0.00017559413324860562,0.00017559413324860562,36
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,34,resp_14C,resp_delta14C,resp[35],resp_14C[35],79.25586700439453,187.20851135253906,59.323665618896484,15.0,225.0,-0.00018760439933226372,0.00018760439933226372,35
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,35,resp_14C,resp_delta14C,resp[36],resp_14C[36],81.99440002441406,196.52978515625,58.75614547729492,15.0,225.0,-0.0002181129419380504,0.0002181129419380504,34
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,36,resp_14C,resp_delta14C,resp[37],resp_14C[37],70.0555648803711,174.48721313476562,55.94802474975586,15.0,225.0,-0.00031019178623587965,0.00031019178623587965,32
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,37,resp_14C,resp_delta14C,resp[38],resp_14C[38],68.07653045654297,174.2688446044922,55.530399322509766,15.0,225.0,-0.00032671757705170744,0.00032671757705170744,31
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,38,resp_14C,resp_delta14C,resp[39],resp_14C[39],70.96666717529297,175.1734161376953,54.021324157714844,15.0,225.0,-0.0003924564125210628,0.0003924564125210628,26
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,39,resp_14C,resp_delta14C,resp[40],resp_14C[40],67.48580169677734,168.19500732421875,52.88175582885742,15.0,225.0,-0.0004235870180509528,0.0004235870180509528,23
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,40,resp_14C,resp_delta14C,resp[41],resp_14C[41],61.942665100097656,169.115478515625,50.361637115478516,15.0,225.0,-0.0005382663905670874,0.0005382663905670874,18
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,41,c_stock,C_stocks,C[1],c_stock[1],2035.449951171875,1091.6514892578125,1216.065185546875,624.3914537371568,389864.6875,5.091030322964345e-06,5.091030322964345e-06,48
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,42,c_stock,C_stocks,C[2],c_stock[2],5551.34716796875,2752.367431640625,4155.62890625,1562.6807895408454,2441971.25,5.742076174083868e-07,5.742076174083868e-07,49
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,43,c_stock,C_stocks,C[3],c_stock[3],4953.3837890625,1390.5198974609375,4967.63427734375,1545.2521638878231,2387804.25,-5.297366544764987e-08,5.297366544764987e-08,50
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,44,israd_soil_active_1996,pool_delta14C,israd_active_1996,israd_soil_active_1996,29.563507080078125,284.2281799316406,164.91644287109375,35.5226445576225,1261.8582763671875,-0.0013705116079859448,0.0013705116079859448,2
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,45,israd_soil_active_2007,pool_delta14C,israd_active_2007,israd_soil_active_2007,15.806249618530273,67.50889587402344,66.20610809326172,21.24855952148948,451.50128173828125,-8.516729682602172e-05,8.516729682602172e-05,38
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,46,israd_soil_active_2011,pool_delta14C,israd_active_2011,israd_soil_active_2011,63.67599868774414,46.45952224731445,47.23358154296875,15.0,225.0,2.3671700709528304e-05,2.3671700709528304e-05,45
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,47,israd_soil_passive_1996,pool_delta14C,israd_passive_1996,israd_soil_passive_1996,-74.4139404296875,2316.31884765625,-69.30477905273438,27.447183833512412,753.347900390625,4.467183587312725e-05,4.467183587312725e-05,42
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,48,israd_soil_passive_2007,pool_delta14C,israd_passive_2007,israd_soil_passive_2007,-86.4000015258789,2191.39794921875,-67.81243133544922,29.18437044082575,851.7274780273438,-7.224072577949278e-05,7.224072577949278e-05,39
Harvard Forest,US-Ha1,1,log_tau[soil_slow],$\tau_{\mathrm{slow}}$,49,israd_soil_slow_2011,pool_delta14C,israd_slow_2011,israd_soil_slow_2011,1.124901533126831,399.896240234375,56.8382682800293,16.031945761887712,257.0232849121094,-0.002464004639312279,0.002464004639312279,1
