site_name,lat,lon,layer_obs,layer_entries,layer_entry_names,fraction_obs,fraction_entries,fraction_entry_names,flux_obs,flux_entries,flux_entry_names,incubation_obs,incubation_entries,incubation_entry_names,interstitial_obs,interstitial_entries,interstitial_entry_names,has_layer,has_fraction,has_respiration,has_interstitial,eligible_fraction,eligible_pool_resp,eligible,eligibility_path
Nelson Farm,34.6888888888889,-90.0333333333333,21,1,Harden_1999,0,0,,0,0,,5,1,Harden_1999,0,0,,True,False,True,False,False,True,True,pool+respiration
Neunkirch,47.6841827906742,8.53482211980122,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Nilgiri,11.333333,76.75,17,1,Caner_2003,17,1,Caner_2003,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Nods,47.1133830244307,7.0417027994582,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Norunda,60.08333,17.48333,0,0,,6,1,Schrumpf_2013,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Novaggio,46.0222509462979,8.83334136057998,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Oak Ridge Reservation,35.970138,-84.2996,4,1,Swanston_2005,12,1,Swanston_2005,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Olsberg,47.5352163486519,7.7839199016858,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Othmarsingen,47.3990315571444,8.22592763858263,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
PACU,5.68,-76.6,4,1,Posada_2011,0,0,,0,0,,4,1,Posada_2011,0,0,,True,False,True,False,False,True,True,pool+respiration
Palmerston_North,-40.35,175.5,0,0,,18,1,Goh_1977,0,0,,0,0,,0,0,,False,True,False,False,True,False,True,fraction
Pessenda_2001_Botucata I,-23.0,-48.0,3,1,Pessenda_2001,3,1,Pessenda_2001,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Pessenda_2001_Humaita IId,-7.52,-63.03,2,1,Pessenda_2001,2,1,Pessenda_2001,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Pessenda_2001_Jaguariuna,-22.67,-47.02,3,1,Pessenda_2001,3,1,Pessenda_2001,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Pfeffingen,47.4637022745467,7.57125145866232,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Piracicaba_2,-22.68,-47.67,3,1,Pessenda_2001,3,1,Pessenda_2001,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Polar Desert,76.4272222,-68.9836111111111,6,1,Czimczik_2010,2,1,Czimczik_2010,0,0,,11,1,Czimczik_2010,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
RB-450-C,-23.306279189,31.4756084961,5,1,Khomo_2017,19,1,Khomo_2017,0,0,,6,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
RH-450-C,-23.307657278,31.546531286,4,1,Khomo_2017,6,1,Khomo_2017,0,0,,6,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
RITA,9.37,-79.7,3,1,Posada_2011,0,0,,0,0,,3,1,Posada_2011,0,0,,True,False,True,False,False,True,True,pool+respiration
RW_mixed_Cropland,-2.39338,29.22039,13,1,Doetterl_2021,0,0,,0,0,,13,1,Doetterl_2021,0,0,,True,False,True,False,False,True,True,pool+respiration
RW_mixed_Forest,-2.46381,29.09542,12,1,Doetterl_2021,0,0,,0,0,,8,1,Doetterl_2021,0,0,,True,False,True,False,False,True,True,pool+respiration
Rapperswil-Jona_a,47.228767233926,8.90612033693338,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Rapperswil-Jona_b,47.2415403818684,8.84861230809763,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Riverbank,37.52,-120.59,14,2,Baisden_2002|Baisden_2007,21,1,Baisden_2002,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Romont (FR),46.679933380506,6.89779221653977,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Roveredo (GR),46.2250916638445,9.12692944151064,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
S1_Bog_MEF,47.506,-93.454,178,1,McFarlane_2018,27,1,McFarlane_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
SELVA,10.43,-84.0,7,1,Posada_2011,0,0,,0,0,,6,1,Posada_2011,0,0,,True,False,True,False,False,True,True,pool+respiration
SHER,9.28,-79.97,3,1,Posada_2011,0,0,,0,0,,3,1,Posada_2011,0,0,,True,False,True,False,False,True,True,pool+respiration
