ecosystem,observation_subset,observation_subset_label,draw,q10,delta_temperature_c,year,mode,control_carbon,warm_carbon,control_respiration,warm_respiration,cumulative_control_respiration,cumulative_warm_respiration
Barrow,prior_only,Prior,3,2.0,4.0,100,slow,13756.1083984375,13723.56640625,85.73738110763655,157.47403812152953,85.73738110763655,157.47403812152953
Barrow,prior_only,Prior,4,2.0,4.0,10,fast,3323.19091796875,2750.229248046875,569.3560366452857,947.9502381894462,569.3560366452857,947.9502381894462
Barrow,prior_only,Prior,4,2.0,4.0,50,fast,1323.3638916015625,785.0159301757812,2628.0426329084457,2983.719508731252,2628.0426329084457,2983.719508731252
Barrow,prior_only,Prior,4,2.0,4.0,100,fast,1052.3353271484375,684.26318359375,3925.4303208762867,4168.599642055499,3925.4303208762867,4168.599642055499
Barrow,prior_only,Prior,4,2.0,4.0,10,intermediate,19231.07421875,19148.7578125,265.98824181652674,536.4698944118777,265.98824181652674,536.4698944118777
Barrow,prior_only,Prior,4,2.0,4.0,50,intermediate,18530.953125,17668.759765625,1983.7422865489045,3005.5555350784707,1983.7422865489045,3005.5555350784707
Barrow,prior_only,Prior,4,2.0,4.0,100,intermediate,17271.37109375,15509.6953125,3866.6463134079386,5711.7377714251,3866.6463134079386,5711.7377714251
Barrow,prior_only,Prior,4,2.0,4.0,10,slow,10155.4462890625,10154.75390625,3.056067291489771,9.820646445730402,3.056067291489771,9.820646445730402
Barrow,prior_only,Prior,4,2.0,4.0,50,slow,10164.2744140625,10160.23046875,32.72185908699984,60.22212433598687,32.72185908699984,60.22212433598687
Barrow,prior_only,Prior,4,2.0,4.0,100,slow,10173.9697265625,10159.3134765625,65.82882551481232,120.94835434347559,65.82882551481232,120.94835434347559
Barrow,prior_only,Prior,5,2.0,4.0,10,fast,2261.997802734375,1748.689453125,752.9200427527859,1212.6216609956014,752.9200427527859,1212.6216609956014
Barrow,prior_only,Prior,5,2.0,4.0,50,fast,736.7890625,428.1678161621094,3118.1922747001095,3394.5198278343814,3118.1922747001095,3394.5198278343814
Barrow,prior_only,Prior,5,2.0,4.0,100,fast,726.9285278320312,493.6037902832031,4642.79955967162,4851.729083585697,4642.79955967162,4851.729083585697
Barrow,prior_only,Prior,5,2.0,4.0,10,intermediate,5244.98828125,5213.64111328125,81.91365235804426,165.10374314132142,81.91365235804426,165.10374314132142
Barrow,prior_only,Prior,5,2.0,4.0,50,intermediate,4984.380859375,4702.79345703125,607.4687860888073,915.511063314,607.4687860888073,915.511063314
Barrow,prior_only,Prior,5,2.0,4.0,100,intermediate,4583.22509765625,4051.908447265625,1175.1741091482404,1720.8203298993958,1175.1741091482404,1720.8203298993958
Barrow,prior_only,Prior,5,2.0,4.0,10,slow,1695.1468505859375,1694.964599609375,0.7721576718181231,2.4812626325502607,0.7721576718181231,2.4812626325502607
Barrow,prior_only,Prior,5,2.0,4.0,50,slow,1697.3153076171875,1696.0263671875,8.269653069994305,15.21735321355532,8.269653069994305,15.21735321355532
Barrow,prior_only,Prior,5,2.0,4.0,100,slow,1699.33154296875,1695.461669921875,16.639415355403944,30.561693763217967,16.639415355403944,30.561693763217967
Barrow,prior_only,Prior,6,2.0,4.0,10,fast,1860.09765625,1380.6712646484375,587.6541203221124,927.8391768105975,587.6541203221124,927.8391768105975
Barrow,prior_only,Prior,6,2.0,4.0,50,fast,556.8919067382812,328.2864990234375,2304.239103034322,2466.3963779390106,2304.239103034322,2466.3963779390106
Barrow,prior_only,Prior,6,2.0,4.0,100,fast,620.8223266601562,425.5282287597656,3459.9233030575783,3598.483243226039,3459.9233030575783,3598.483243226039
Barrow,prior_only,Prior,6,2.0,4.0,10,intermediate,7835.92041015625,7739.79638671875,223.6495379217355,449.6708203579432,223.6495379217355,449.6708203579432
Barrow,prior_only,Prior,6,2.0,4.0,50,intermediate,7076.728515625,6341.39697265625,1627.4549278871223,2397.925153201212,1627.4549278871223,2397.925153201212
Barrow,prior_only,Prior,6,2.0,4.0,100,intermediate,6068.408203125,4855.921875,3050.374927321611,4270.187141883764,3050.374927321611,4270.187141883764
Barrow,prior_only,Prior,6,2.0,4.0,10,slow,7181.072265625,7179.98681640625,4.647123244351876,14.932743318021998,4.647123244351876,14.932743318021998
Barrow,prior_only,Prior,6,2.0,4.0,50,slow,7192.767578125,7182.12353515625,49.78274845929381,91.5828068055844,49.78274845929381,91.5828068055844
Barrow,prior_only,Prior,6,2.0,4.0,100,slow,7199.73974609375,7165.73193359375,100.17512593163062,183.82622625819076,100.17512593163062,183.82622625819076
Barrow,prior_only,Prior,7,2.0,4.0,10,fast,564.9114379882812,310.35198974609375,549.7254372967257,742.4327638092653,549.7254372967257,742.4327638092653
Barrow,prior_only,Prior,7,2.0,4.0,50,fast,154.2617645263672,101.98530578613281,1706.0586921949725,1745.5806415893294,1706.0586921949725,1745.5806415893294
Barrow,prior_only,Prior,7,2.0,4.0,100,fast,289.4742736816406,188.56765747070312,2885.9375537990486,2962.3962693073777,2885.9375537990486,2962.3962693073777
Barrow,prior_only,Prior,7,2.0,4.0,10,intermediate,10606.7099609375,10472.6533203125,181.86472882378592,365.5247403999016,181.86472882378592,365.5247403999016
