site,label,biome,biome_group,family,n_obs_family,param,shapley_dfs
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,fraction_12C,0,f_s_to_p,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,fraction_12C,0,tau_active,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,fraction_12C,0,tau_passive,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,fraction_12C,0,tau_slow,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,fraction_14C,0,f_a_to_s,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,fraction_14C,0,f_s_to_p,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,fraction_14C,0,tau_active,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,fraction_14C,0,tau_passive,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,fraction_14C,0,tau_slow,0.0
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,resp_14C,2,f_a_to_s,0.0033457786769641733
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,resp_14C,2,f_s_to_p,0.04721243172507248
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,resp_14C,2,tau_active,0.01887466305678679
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,resp_14C,2,tau_passive,0.0034369079773798328
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,resp_14C,2,tau_slow,0.019880289280105202
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,C_stocks,1,f_a_to_s,0.21652198412322382
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,C_stocks,1,f_s_to_p,0.13192852816258163
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,C_stocks,1,tau_active,0.054358151190094135
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,C_stocks,1,tau_passive,0.19276995728202945
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,C_stocks,1,tau_slow,0.053301481806206245
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,ER_annual,1,f_a_to_s,3.909335246674082e-05
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,ER_annual,1,f_s_to_p,1.169827810572364e-06
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,ER_annual,1,tau_active,0.00031922642330945626
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,ER_annual,1,tau_passive,1.719376165132515e-06
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,ER_annual,1,tau_slow,1.4225789534099493e-06
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,bulk_14C,0,f_a_to_s,0.0
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,bulk_14C,0,f_s_to_p,0.0
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,bulk_14C,0,tau_active,0.0
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,bulk_14C,0,tau_passive,0.0
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,bulk_14C,0,tau_slow,0.0
